timestamp,value
2025-06-09 00:00:00,48.4
2025-06-09 01:00:00,48.3
2025-06-09 02:00:00,48.0
2025-06-09 03:00:00,49.4
2025-06-09 04:00:00,50.7
2025-06-09 05:00:00,48.8
2025-06-09 06:00:00,49.1
2025-06-09 07:00:00,48.3
2025-06-09 08:00:00,47.2
2025-06-09 09:00:00,50.0
2025-06-09 10:00:00,49.9
2025-06-09 11:00:00,50.0
2025-06-09 12:00:00,50.9
2025-06-09 13:00:00,50.5
2025-06-09 14:00:00,50.8
2025-06-09 15:00:00,50.6
2025-06-09 16:00:00,50.5
2025-06-09 17:00:00,51.8
2025-06-09 18:00:00,49.8
2025-06-09 19:00:00,51.6
2025-06-09 20:00:00,54.1
2025-06-09 21:00:00,49.1
2025-06-09 22:00:00,49.5
2025-06-09 23:00:00,45.9
