timestamp,value
2025-06-10 00:00:00,50.4
2025-06-10 01:00:00,49.2
2025-06-10 02:00:00,52.4
2025-06-10 03:00:00,48.7
2025-06-10 04:00:00,50.7
2025-06-10 05:00:00,50.3
2025-06-10 06:00:00,51.7
2025-06-10 07:00:00,51.5
2025-06-10 08:00:00,53.8
2025-06-10 09:00:00,50.4
2025-06-10 10:00:00,50.1
2025-06-10 11:00:00,51.6
2025-06-10 12:00:00,51.7
2025-06-10 13:00:00,49.1
2025-06-10 14:00:00,49.8
2025-06-10 15:00:00,47.4
2025-06-10 16:00:00,47.2
2025-06-10 17:00:00,48.7
2025-06-10 18:00:00,51.6
2025-06-10 19:00:00,46.1
2025-06-10 20:00:00,50.1
2025-06-10 21:00:00,48.4
2025-06-10 22:00:00,49.8
2025-06-10 23:00:00,49.2
