timestamp,value
2025-06-06 00:00:00,51.6
2025-06-06 01:00:00,50.8
2025-06-06 02:00:00,50.9
2025-06-06 03:00:00,51.3
2025-06-06 04:00:00,50.5
2025-06-06 05:00:00,48.5
2025-06-06 06:00:00,50.4
2025-06-06 07:00:00,48.4
2025-06-06 08:00:00,51.6
2025-06-06 09:00:00,47.3
2025-06-06 10:00:00,50.3
2025-06-06 11:00:00,49.7
2025-06-06 12:00:00,50.3
2025-06-06 13:00:00,52.0
2025-06-06 14:00:00,53.0
2025-06-06 15:00:00,47.0
2025-06-06 16:00:00,49.8
2025-06-06 17:00:00,48.0
2025-06-06 18:00:00,49.8
2025-06-06 19:00:00,49.4
2025-06-06 20:00:00,51.9
2025-06-06 21:00:00,51.1
2025-06-06 22:00:00,49.7
2025-06-06 23:00:00,48.0
