timestamp,value
2025-06-04 00:00:00,48.7
2025-06-04 01:00:00,50.4
2025-06-04 02:00:00,50.9
2025-06-04 03:00:00,49.5
2025-06-04 04:00:00,50.6
2025-06-04 05:00:00,50.5
2025-06-04 06:00:00,50.4
2025-06-04 07:00:00,48.4
2025-06-04 08:00:00,47.5
2025-06-04 09:00:00,53.3
2025-06-04 10:00:00,49.4
2025-06-04 11:00:00,51.6
2025-06-04 12:00:00,51.1
2025-06-04 13:00:00,49.8
2025-06-04 14:00:00,48.0
2025-06-04 15:00:00,48.4
2025-06-04 16:00:00,50.4
2025-06-04 17:00:00,53.0
2025-06-04 18:00:00,49.3
2025-06-04 19:00:00,49.0
2025-06-04 20:00:00,51.1
2025-06-04 21:00:00,50.9
2025-06-04 22:00:00,50.7
2025-06-04 23:00:00,50.0
