timestamp,value
2025-06-14 00:00:00,49.9
2025-06-14 01:00:00,49.9
2025-06-14 02:00:00,50.8
2025-06-14 03:00:00,51.9
2025-06-14 04:00:00,52.3
2025-06-14 05:00:00,50.9
2025-06-14 06:00:00,50.3
2025-06-14 07:00:00,47.9
2025-06-14 08:00:00,49.1
2025-06-14 09:00:00,54.1
2025-06-14 10:00:00,52.4
2025-06-14 11:00:00,50.6
2025-06-14 12:00:00,48.9
2025-06-14 13:00:00,47.3
2025-06-14 14:00:00,48.9
2025-06-14 15:00:00,48.7
2025-06-14 16:00:00,51.6
2025-06-14 17:00:00,50.5
2025-06-14 18:00:00,49.9
2025-06-14 19:00:00,50.5
2025-06-14 20:00:00,48.7
2025-06-14 21:00:00,49.8
2025-06-14 22:00:00,47.4
2025-06-14 23:00:00,50.5
