timestamp,value
2025-06-16 00:00:00,50.7
2025-06-16 01:00:00,51.7
2025-06-16 02:00:00,49.5
2025-06-16 03:00:00,49.2
2025-06-16 04:00:00,50.3
2025-06-16 05:00:00,47.1
2025-06-16 06:00:00,50.3
2025-06-16 07:00:00,52.0
2025-06-16 08:00:00,50.5
2025-06-16 09:00:00,49.3
2025-06-16 10:00:00,50.2
2025-06-16 11:00:00,47.4
2025-06-16 12:00:00,47.5
2025-06-16 13:00:00,50.9
2025-06-16 14:00:00,49.8
2025-06-16 15:00:00,51.9
2025-06-16 16:00:00,49.9
2025-06-16 17:00:00,49.3
2025-06-16 18:00:00,50.4
2025-06-16 19:00:00,51.4
2025-06-16 20:00:00,52.2
2025-06-16 21:00:00,50.5
2025-06-16 22:00:00,47.1
2025-06-16 23:00:00,49.6
