timestamp,value
2025-06-12 00:00:00,51.1
2025-06-12 01:00:00,47.6
2025-06-12 02:00:00,49.9
2025-06-12 03:00:00,47.0
2025-06-12 04:00:00,46.7
2025-06-12 05:00:00,50.0
2025-06-12 06:00:00,49.0
2025-06-12 07:00:00,48.8
2025-06-12 08:00:00,49.0
2025-06-12 09:00:00,49.9
2025-06-12 10:00:00,50.0
2025-06-12 11:00:00,51.9
2025-06-12 12:00:00,49.5
2025-06-12 13:00:00,50.5
2025-06-12 14:00:00,49.6
2025-06-12 15:00:00,48.5
2025-06-12 16:00:00,50.2
2025-06-12 17:00:00,49.1
2025-06-12 18:00:00,48.3
2025-06-12 19:00:00,47.9
2025-06-12 20:00:00,49.9
2025-06-12 21:00:00,48.3
2025-06-12 22:00:00,52.5
2025-06-12 23:00:00,49.6
