timestamp,value
2025-06-30 00:00:00,51.6
2025-06-30 01:00:00,51.3
2025-06-30 02:00:00,50.9
2025-06-30 03:00:00,53.3
2025-06-30 04:00:00,52.4
2025-06-30 05:00:00,50.8
2025-06-30 06:00:00,48.0
2025-06-30 07:00:00,50.8
2025-06-30 08:00:00,48.6
2025-06-30 09:00:00,49.7
2025-06-30 10:00:00,52.3
2025-06-30 11:00:00,47.5
2025-06-30 12:00:00,50.5
2025-06-30 13:00:00,48.6
2025-06-30 14:00:00,51.6
2025-06-30 15:00:00,52.6
2025-06-30 16:00:00,49.1
2025-06-30 17:00:00,50.3
2025-06-30 18:00:00,48.7
2025-06-30 19:00:00,53.3
2025-06-30 20:00:00,49.5
2025-06-30 21:00:00,51.9
2025-06-30 22:00:00,49.7
2025-06-30 23:00:00,47.9
