timestamp,value
2025-06-24 00:00:00,50.5
2025-06-24 01:00:00,52.6
2025-06-24 02:00:00,49.0
2025-06-24 03:00:00,49.8
2025-06-24 04:00:00,48.5
2025-06-24 05:00:00,51.3
2025-06-24 06:00:00,52.9
2025-06-24 07:00:00,49.1
2025-06-24 08:00:00,54.1
2025-06-24 09:00:00,49.4
2025-06-24 10:00:00,51.6
2025-06-24 11:00:00,49.1
2025-06-24 12:00:00,52.5
2025-06-24 13:00:00,47.4
2025-06-24 14:00:00,51.5
2025-06-24 15:00:00,52.2
2025-06-24 16:00:00,49.7
2025-06-24 17:00:00,47.8
2025-06-24 18:00:00,50.0
2025-06-24 19:00:00,47.6
2025-06-24 20:00:00,50.9
2025-06-24 21:00:00,51.9
2025-06-24 22:00:00,48.0
2025-06-24 23:00:00,50.5
