timestamp,value
2025-06-28 00:00:00,50.2
2025-06-28 01:00:00,47.5
2025-06-28 02:00:00,49.5
2025-06-28 03:00:00,48.4
2025-06-28 04:00:00,50.7
2025-06-28 05:00:00,50.6
2025-06-28 06:00:00,49.6
2025-06-28 07:00:00,47.1
2025-06-28 08:00:00,48.7
2025-06-28 09:00:00,51.3
2025-06-28 10:00:00,49.4
2025-06-28 11:00:00,48.5
2025-06-28 12:00:00,49.0
2025-06-28 13:00:00,49.2
2025-06-28 14:00:00,50.3
2025-06-28 15:00:00,51.4
2025-06-28 16:00:00,50.3
2025-06-28 17:00:00,48.7
2025-06-28 18:00:00,50.4
2025-06-28 19:00:00,47.5
2025-06-28 20:00:00,50.4
2025-06-28 21:00:00,49.1
2025-06-28 22:00:00,48.9
2025-06-28 23:00:00,50.8
